PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,C,Q,S,Alone
1,0,3,1,22.0,1,0,7.25,False,False,True,0
2,1,1,0,38.0,1,0,71.2833,True,False,False,0
3,1,3,0,26.0,0,0,7.925,False,False,True,1
4,1,1,0,35.0,1,0,53.1,False,False,True,0
5,0,3,1,35.0,0,0,8.05,False,False,True,1
6,0,3,1,24.0,0,0,8.4583,False,True,False,1
7,0,1,1,54.0,0,0,51.8625,False,False,True,1
8,0,3,1,2.0,3,1,21.075,False,False,True,0
9,1,3,0,27.0,0,2,11.1333,False,False,True,0
10,1,2,0,14.0,1,0,30.0708,True,False,False,0
11,1,3,0,4.0,1,1,16.7,False,False,True,0
12,1,1,0,58.0,0,0,26.55,False,False,True,1
13,0,3,1,20.0,0,0,8.05,False,False,True,1
14,0,3,1,39.0,1,5,31.275,False,False,True,0
15,0,3,0,14.0,0,0,7.8542,False,False,True,1
16,1,2,0,55.0,0,0,16.0,False,False,True,1
17,0,3,1,2.0,4,1,29.125,False,True,False,0
18,1,2,1,29.0,0,0,13.0,False,False,True,1
19,0,3,0,31.0,1,0,18.0,False,False,True,0
20,1,3,0,24.0,0,0,7.225,True,False,False,1
21,0,2,1,35.0,0,0,26.0,False,False,True,1
22,1,2,1,34.0,0,0,13.0,False,False,True,1
23,1,3,0,15.0,0,0,8.0292,False,True,False,1
24,1,1,1,28.0,0,0,35.5,False,False,True,1
25,0,3,0,8.0,3,1,21.075,False,False,True,0
26,1,3,0,38.0,1,5,31.3875,False,False,True,0
27,0,3,1,24.0,0,0,7.225,True,False,False,1
28,0,1,1,19.0,3,2,263.0,False,False,True,0
29,1,3,0,24.0,0,0,7.8792,False,True,False,1
30,0,3,1,24.0,0,0,7.8958,False,False,True,1
31,0,1,1,40.0,0,0,27.7208,True,False,False,1
32,1,1,0,37.0,1,0,146.5208,True,False,False,0
33,1,3,0,24.0,0,0,7.75,False,True,False,1
34,0,2,1,66.0,0,0,10.5,False,False,True,1
35,0,1,1,28.0,1,0,82.1708,True,False,False,0
36,0,1,1,42.0,1,0,52.0,False,False,True,0
37,1,3,1,24.0,0,0,7.2292,True,False,False,1
38,0,3,1,21.0,0,0,8.05,False,False,True,1
39,0,3,0,18.0,2,0,18.0,False,False,True,0
40,1,3,0,14.0,1,0,11.2417,True,False,False,0
41,0,3,0,40.0,1,0,9.475,False,False,True,0
42,0,2,0,27.0,1,0,21.0,False,False,True,0
43,0,3,1,24.0,0,0,7.8958,True,False,False,1
44,1,2,0,3.0,1,2,41.5792,True,False,False,0
45,1,3,0,19.0,0,0,7.8792,False,True,False,1
46,0,3,1,24.0,0,0,8.05,False,False,True,1
47,0,3,1,24.0,1,0,15.5,False,True,False,0
48,1,3,0,24.0,0,0,7.75,False,True,False,1
49,0,3,1,24.0,2,0,21.6792,True,False,False,0
50,0,3,0,18.0,1,0,17.8,False,False,True,0
51,0,3,1,7.0,4,1,39.6875,False,False,True,0
52,0,3,1,21.0,0,0,7.8,False,False,True,1
53,1,1,0,49.0,1,0,76.7292,True,False,False,0
54,1,2,0,29.0,1,0,26.0,False,False,True,0
55,0,1,1,65.0,0,1,61.9792,True,False,False,0
56,1,1,1,37.0,0,0,35.5,False,False,True,1
57,1,2,0,21.0,0,0,10.5,False,False,True,1
58,0,3,1,28.5,0,0,7.2292,True,False,False,1
59,1,2,0,5.0,1,2,27.75,False,False,True,0
60,0,3,1,11.0,5,2,46.9,False,False,True,0
61,0,3,1,22.0,0,0,7.2292,True,False,False,1
62,1,1,0,38.0,0,0,80.0,False,False,True,1
63,0,1,1,45.0,1,0,83.475,False,False,True,0
64,0,3,1,4.0,3,2,27.9,False,False,True,0
65,0,1,1,37.0,0,0,27.7208,True,False,False,1
66,1,3,1,24.0,1,1,15.2458,True,False,False,0
67,1,2,0,29.0,0,0,10.5,False,False,True,1
68,0,3,1,19.0,0,0,8.1583,False,False,True,1
69,1,3,0,17.0,4,2,7.925,False,False,True,0
